"Dato";"Valør";"Tekst";"";"Beløb";"Saldo";"Egen bilagsreference"
"22.05.2025";"22.05.2025";"LS 38393 DANFOODS APS";"";"-6.047,50";"460.901,53";""
"22.05.2025";"22.05.2025";"CHPevent";"";"-6.250,00";"454.651,53";""
"22.05.2025";"22.05.2025";"Århus Catering";"";"-3.401,25";"451.250,28";""
"23.05.2025";"23.05.2025";"Betalinger, 2 stk.";"";"-120,00";"451.130,28";""
"23.05.2025";"23.05.2025";"LS 38393 DANFOODS APS";"";"-2.257,89";"448.872,39";""
"23.05.2025";"23.05.2025";"GOOGLE ADS";"";"-2.000,00";"446.872,39";""
"23.05.2025";"23.05.2025";"MCD 00958 THANSEN GRUPPEN";"";"-270,40";"446.601,99";""
"23.05.2025";"23.05.2025";"MCD 00956 THANSEN GRUPPEN";"";"-749,00";"445.852,99";""
"23.05.2025";"23.05.2025";"MCD 00959 HARALD NYBORG -";"";"-908,00";"444.944,99";""
"23.05.2025";"23.05.2025";"MCD 00957 DAGROFA S/ENGRO";"";"-4.693,11";"440.251,88";""
"26.05.2025";"26.05.2025";"02000118060012305254                -SE MEDD.";"";"168,32";"440.420,20";""
"26.05.2025";"26.05.2025";"MCD 00965 AIRBNB * HM8PSDN95X";"";"-1.284,71";"439.135,49";""
"26.05.2025";"26.05.2025";"MCD 00963 CIRCLE K TILST";"";"-450,67";"438.684,82";""
"26.05.2025";"26.05.2025";"MCD 00964 CIRCLE K TILST";"";"-454,98";"438.229,84";""
"26.05.2025";"26.05.2025";"MCD 00962 OIL tank go Greve";"";"-492,09";"437.737,75";""
"26.05.2025";"26.05.2025";"MCD 00960 Storebaeltsforbindelse";"";"-635,00";"437.102,75";""
"26.05.2025";"26.05.2025";"MCD 00961 MINA ISTANBUL KEBAB PR";"";"-14.331,00";"422.771,75";""
"26.05.2025";"26.05.2025";"02000118060012405251                -SE MEDD.";"";"2.188,13";"424.959,88";""
"26.05.2025";"26.05.2025";"MCD 00968 WINDSURF 18,75 USD kurs: 662,773300";"";"-127,25";"424.832,63";""
"26.05.2025";"26.05.2025";"MCD 00967 Inco CC Aarhus AS";"";"-131,22";"424.701,41";""
"26.05.2025";"26.05.2025";"MCD 00966 CIRCLE K TILST";"";"-351,00";"424.350,41";""
"26.05.2025";"26.05.2025";"LS 38393 DANFOODS APS";"";"-2.639,75";"421.710,66";""
"26.05.2025";"26.05.2025";"02000118060012505258                -SE MEDD.";"";"99,00";"421.809,66";""
"26.05.2025";"26.05.2025";"Stripe Technology Eu                -SE MEDD.";"";"13.003,30";"434.812,96";""
"26.05.2025";"26.05.2025";"MCD 00969 Q8 Låsby 8206";"";"-200,00";"434.612,96";""
"26.05.2025";"26.05.2025";"MCD 00970 Storebaeltsforbindelse";"";"-230,00";"434.382,96";""
"26.05.2025";"26.05.2025";"MCD 00971 Storebaeltsforbindelse";"";"-230,00";"434.152,96";""
"26.05.2025";"26.05.2025";"META FACEBOOK ADS";"";"-1.380,51";"432.772,45";""
"27.05.2025";"27.05.2025";"Betalinger, 1 stk.";"";"-60,00";"432.712,45";""
"27.05.2025";"27.05.2025";"LS 38393 DANFOODS APS";"";"-2.588,65";"430.123,80";""
"28.05.2025";"28.05.2025";"Kundegebyr";"";"-200,00";"429.923,80";""
"28.05.2025";"28.05.2025";"MCD 00972 Simply.com";"";"-68,59";"429.855,21";""
"02.06.2025";"02.06.2025";"MCD 00974 CIRCLE K ARHUS V";"";"-400,08";"429.455,13";""
"02.06.2025";"02.06.2025";"MCD 00973 DAGROFA S/ENGRO";"";"-2.574,86";"426.880,27";""
"02.06.2025";"02.06.2025";"MCD 00980 AIRBNB * HMHFMWNEQN";"";"-2.643,52";"424.236,75";""
"02.06.2025";"02.06.2025";"02000118060012905256                -SE MEDD.";"";"8.405,96";"432.642,71";""
"02.06.2025";"02.06.2025";"MCD 00982 Storebaeltsforbindelse";"";"-230,00";"432.412,71";""
"02.06.2025";"02.06.2025";"MCD 00983 Storebaeltsforbindelse";"";"-230,00";"432.182,71";""
"02.06.2025";"02.06.2025";"MCD 00981 Storebaeltsforbindelse";"";"-350,00";"431.832,71";""
"02.06.2025";"02.06.2025";"MCD 00985 AIRBNB * HMTZHNDAZ3";"";"-729,41";"431.103,30";""
"02.06.2025";"02.06.2025";"MCD 00984 DAGROFA S/ENGRO";"";"-1.954,56";"429.148,74";""
"02.06.2025";"02.06.2025";"MCD 00979 CIRCLE K MOTORVEJSCENT";"";"-77,00";"429.071,74";""
"02.06.2025";"02.06.2025";"MCD 00978 CIRCLE K MOTORVEJSCENT";"";"-118,00";"428.953,74";""
"02.06.2025";"02.06.2025";"MCD 00975 CIRCLE K TILST";"";"-344,73";"428.609,01";""
"02.06.2025";"02.06.2025";"MCD 00977 CIRCLE K MOTORVEJSCENT";"";"-475,88";"428.133,13";""
"02.06.2025";"02.06.2025";"MCD 00976 CIRCLE K TILST";"";"-496,99";"427.636,14";""
"02.06.2025";"02.06.2025";"02000118060013005252                -SE MEDD.";"";"1.193,08";"428.829,22";""
"02.06.2025";"02.06.2025";"MCD 00986 CIRCLE K OSTED";"";"-119,80";"428.709,42";""
"02.06.2025";"02.06.2025";"MCD 00987 CIRCLE K TILST";"";"-351,49";"428.357,93";""
"02.06.2025";"02.06.2025";"MCD 00989 CIRCLE K RIBE";"";"-638,00";"427.719,93";""
"02.06.2025";"02.06.2025";"MCD 00988 DAGROFA S/ENGRO";"";"-1.703,13";"426.016,80";""
"02.06.2025";"02.06.2025";"02000118060013105259                -SE MEDD.";"";"94,06";"426.110,86";""
"02.06.2025";"02.06.2025";"MCD 00991 DAGROFA S/ENGRO";"";"-1.791,54";"424.319,32";""
"02.06.2025";"02.06.2025";"MCD 00990 DAGROFA S/ENGRO";"";"-6.297,86";"418.021,46";""
"02.06.2025";"02.06.2025";"BS TELENOR A/S";"";"-254,38";"417.767,08";""
"02.06.2025";"02.06.2025";"LS 38393 DANFOODS APS";"";"-5.335,53";"412.431,55";""
"02.06.2025";"02.06.2025";"02000118060010106251                -SE MEDD.";"";"202,97";"412.634,52";""
"02.06.2025";"02.06.2025";"MCD 00994 Storebaeltsforbindelse";"";"-230,00";"412.404,52";""
"02.06.2025";"02.06.2025";"MCD 00993 Uno-X 1977 Fabrikspark";"";"-890,35";"411.514,17";""
"02.06.2025";"02.06.2025";"MCD 00992 DAGROFA S/ENGRO";"";"-4.147,30";"407.366,87";""
"03.06.2025";"03.06.2025";"LS 38393 DANFOODS APS";"";"-9.986,14";"397.380,73";""
"03.06.2025";"03.06.2025";"MCD 00995 SumUp  *Foodtruck Fies";"";"-10,00";"397.370,73";""
"03.06.2025";"03.06.2025";"MCD 00996 BAUHAUS";"";"-558,76";"396.811,97";""
"04.06.2025";"04.06.2025";"LS 38393 DANFOODS APS";"";"-3.497,84";"393.314,13";""
"04.06.2025";"04.06.2025";"Le Gout Biltræf Hjortshøj";"";"-2.806,50";"390.507,63";""
"04.06.2025";"04.06.2025";"MCD 00998 Elektronik Lavpris";"";"-69,00";"390.438,63";""
"04.06.2025";"04.06.2025";"MCD 00999 Lunar Top-up";"";"-804,00";"389.634,63";""
"04.06.2025";"04.06.2025";"MCD 00997 DAGROFA S/ENGRO";"";"-1.816,20";"387.818,43";""
"06.06.2025";"06.06.2025";"MCD 01001 Inco CC Aarhus AS";"";"-449,64";"387.368,79";""
"06.06.2025";"06.06.2025";"MCD 01000 DAGROFA S/ENGRO";"";"-1.011,43";"386.357,36";""
"06.06.2025";"06.06.2025";"02000118060010506259                -SE MEDD.";"";"94,06";"386.451,42";""
"06.06.2025";"06.06.2025";"MCD 01007 TV2 DK* ID 202532106";"";"-179,00";"386.272,42";""
"06.06.2025";"06.06.2025";"Århus Catering fakturanr 5232";"";"-5.026,25";"381.246,17";""
"06.06.2025";"06.06.2025";"MCD 01002 CIRCLE K TILST";"";"-502,91";"380.743,26";""
"06.06.2025";"06.06.2025";"MCD 01004 Uno-X 1977 Fabrikspark";"";"-563,71";"380.179,55";""
"06.06.2025";"06.06.2025";"MCD 01006 MINA ISTANBUL KEBAB PR";"";"-5.100,00";"375.079,55";""
"06.06.2025";"06.06.2025";"MCD 01003 DAGROFA S/ENGRO";"";"-6.822,35";"368.257,20";""
"06.06.2025";"06.06.2025";"MCD 01005 MINA ISTANBUL KEBAB PR";"";"-15.300,00";"352.957,20";""
"06.06.2025";"06.06.2025";"MCD 01014 Revolut**2287*";"";"-1.000,00";"351.957,20";""
"10.06.2025";"10.06.2025";"02000118060010606256                -SE MEDD.";"";"376,24";"352.333,44";""
"10.06.2025";"10.06.2025";"MCD 01012 Inco CC Aarhus AS";"";"-149,95";"352.183,49";""
"10.06.2025";"10.06.2025";"MCD 01010 CIRCLE K MOTORVEJSCENT";"";"-158,00";"352.025,49";""
"10.06.2025";"10.06.2025";"MCD 01011 Storebaeltsforbindelse";"";"-350,00";"351.675,49";""
"10.06.2025";"10.06.2025";"MCD 01015 DAGROFA S/ENGRO";"";"-404,86";"351.270,63";""
"10.06.2025";"10.06.2025";"MCD 01016 MCDTILST";"";"-413,00";"350.857,63";""
"10.06.2025";"10.06.2025";"MCD 01013 CIRCLE K TILST";"";"-690,94";"350.166,69";""
"10.06.2025";"10.06.2025";"MCD 01009 CIRCLE K MOTORVEJSCENT";"";"-732,73";"349.433,96";""
"10.06.2025";"10.06.2025";"MCD 01008 CIRCLE K MOTORVEJSCENT";"";"-789,02";"348.644,94";""
"10.06.2025";"10.06.2025";"02000118060010706253                -SE MEDD.";"";"3.856,43";"352.501,37";""
"10.06.2025";"10.06.2025";"MCD 01021 Revolut**2287*";"";"-1.000,00";"351.501,37";""
"10.06.2025";"10.06.2025";"MCD 01017 CIRCLE K TILST";"";"-132,00";"351.369,37";""
"10.06.2025";"10.06.2025";"MCD 01018 Inco CC Aarhus AS";"";"-599,89";"350.769,48";""
"10.06.2025";"10.06.2025";"MCD 01019 DAGROFA S/ENGRO";"";"-1.734,91";"349.034,57";""
"10.06.2025";"10.06.2025";"MCD 01020 Lunar Top-up";"";"-804,00";"348.230,57";""
"10.06.2025";"10.06.2025";"MCD 01022 Lunar Top-up";"";"-854,00";"347.376,57";""
"10.06.2025";"10.06.2025";"MCD 01023 Q8 Låsby 8206";"";"-1.000,00";"346.376,57";""
"10.06.2025";"10.06.2025";"MCD 01024 DAGROFA S/ENGRO";"";"-1.708,29";"344.668,28";""
"10.06.2025";"10.06.2025";"BS AURA A/S - FIBER";"";"-299,00";"344.369,28";""
"10.06.2025";"10.06.2025";"LS 11045 OK A.M.B.A.";"";"-1.495,72";"342.873,56";""
"10.06.2025";"10.06.2025";"LS 38393 DANFOODS APS";"";"-1.428,55";"341.445,01";""
"10.06.2025";"10.06.2025";"MCD 01025 BAZAR ÅRHUS";"";"-500,00";"340.945,01";""
"10.06.2025";"10.06.2025";"MCD 01026 Lunar Top-up";"";"-1.504,00";"339.441,01";""
"10.06.2025";"10.06.2025";"LP907e175277                        -SE MEDD.";"";"74.473,81";"413.914,82";""
"10.06.2025";"10.06.2025";"MCD 01029 Revolut**2287*";"";"-2.000,00";"411.914,82";""
"11.06.2025";"11.06.2025";"LS 38393 DANFOODS APS";"";"-7.647,12";"404.267,70";""
"11.06.2025";"11.06.2025";"MCD 01028 APPLE.COM/BILL";"";"-179,00";"404.088,70";""
"11.06.2025";"11.06.2025";"MCD 01030 Revolut**2287*";"";"-2.000,00";"402.088,70";""
"11.06.2025";"11.06.2025";"MCD 01027 AARHUS BUSINESS";"";"-37,00";"402.051,70";""
"12.06.2025";"12.06.2025";"02000118060011106250                -SE MEDD.";"";"147,52";"402.199,22";""
"12.06.2025";"12.06.2025";"LS 38393 DANFOODS APS";"";"-2.199,00";"400.000,22";""
"12.06.2025";"12.06.2025";"MCD 01035 Revolut**2287*";"";"-500,00";"399.500,22";""
"12.06.2025";"12.06.2025";"MCD 01034 Revolut**2287*";"";"-2.500,00";"397.000,22";""
"12.06.2025";"12.06.2025";"MCD 01033 Uno-X 2486 Tilst";"";"-616,35";"396.383,87";""
"12.06.2025";"12.06.2025";"MCD 01031 CIRCLE K TILST";"";"-1.000,00";"395.383,87";""
"12.06.2025";"12.06.2025";"MCD 01032 DAGROFA S-ENGRO";"";"-1.246,17";"394.137,70";""
"13.06.2025";"13.06.2025";"02000118060011206257                -SE MEDD.";"";"455,45";"394.593,15";""
"13.06.2025";"13.06.2025";"LS 38393 DANFOODS APS";"";"-8.874,07";"385.719,08";""
"13.06.2025";"13.06.2025";"Johs. Sørensen & Sønner Århus A/S";"";"-494,70";"385.224,38";""
"13.06.2025";"13.06.2025";"Århus Catering 5245";"";"-6.901,25";"378.323,13";""
"13.06.2025";"13.06.2025";"Regning";"";"-1.323,75";"376.999,38";""
"13.06.2025";"13.06.2025";"MCD 01040 NETTO S@NDERVAN";"";"-45,00";"376.954,38";""
"13.06.2025";"13.06.2025";"MCD 01038 AARHUS BUSINESS";"";"-57,00";"376.897,38";""
"13.06.2025";"13.06.2025";"MCD 01037 Coop Kvickly Viby J";"";"-118,00";"376.779,38";""
"13.06.2025";"13.06.2025";"MCD 01041 Uno-X 403 Middelfart H";"";"-405,15";"376.374,23";""
"13.06.2025";"13.06.2025";"MCD 01042 CIRCLE K TILST";"";"-568,82";"375.805,41";""
"13.06.2025";"13.06.2025";"MCD 01039 KPA COMPANY APS";"";"-1.378,95";"374.426,46";""
"13.06.2025";"13.06.2025";"MCD 01036 DAGROFA S/ENGRO";"";"-4.493,84";"369.932,62";""
"16.06.2025";"16.06.2025";"02000118060011306254                -SE MEDD.";"";"89,11";"370.021,73";""
"16.06.2025";"16.06.2025";"MCD 01047 SumUp  *Foodtruck Fies";"";"-198,00";"369.823,73";""
"16.06.2025";"16.06.2025";"Sambosa";"";"-4.735,52";"365.088,21";""
"16.06.2025";"16.06.2025";"MCD 01044 CIRCLE K ORSTEDSVEJ, S";"";"-42,00";"365.046,21";""
"16.06.2025";"16.06.2025";"MCD 01043 CIRCLE K ORSTEDSVEJ, S";"";"-49,00";"364.997,21";""
"16.06.2025";"16.06.2025";"MCD 01045 MCDVEJLESYD";"";"-99,00";"364.898,21";""
"16.06.2025";"16.06.2025";"MCD 01046 DAGROFA S-ENGRO";"";"-1.860,89";"363.037,32";""
"16.06.2025";"16.06.2025";"02000118060011406251                -SE MEDD.";"";"534,65";"363.571,97";""
"16.06.2025";"16.06.2025";"MCD 01053 SINTRA 15,60 USD kurs: 649,230700";"";"-103,71";"363.468,26";""
"16.06.2025";"16.06.2025";"MCD 01051 CIRCLE K TILST";"";"-250,30";"363.217,96";""
"16.06.2025";"16.06.2025";"MCD 01052 DAGROFA S/ENGRO";"";"-310,51";"362.907,45";""
"16.06.2025";"16.06.2025";"MCD 01048 CIRCLE K TILST";"";"-332,16";"362.575,29";""
"16.06.2025";"16.06.2025";"MCD 01050 DAGROFA S-ENGRO";"";"-2.348,96";"360.226,33";""
"16.06.2025";"16.06.2025";"MCD 01049 DAGROFA S-ENGRO";"";"-2.945,73";"357.280,60";""
"16.06.2025";"16.06.2025";"Betalinger, 3 stk.";"";"-180,00";"357.100,60";""
"16.06.2025";"16.06.2025";"LS 38393 DANFOODS APS";"";"-3.396,00";"353.704,60";""
"16.06.2025";"16.06.2025";"02000118060011506258                -SE MEDD.";"";"148,52";"353.853,12";""
"16.06.2025";"16.06.2025";"MCD 00000 DAGROFA S-ENGRO";"";"227,36";"354.080,48";""
"16.06.2025";"16.06.2025";"MCD 01058 CIRCLE K LEGARDVEJ";"";"-319,00";"353.761,48";""
"16.06.2025";"16.06.2025";"MCD 01060 Q8 Holstebro 8250";"";"-333,00";"353.428,48";""
"16.06.2025";"16.06.2025";"MCD 01056 DAGROFA S-ENGRO";"";"-404,86";"353.023,62";""
"16.06.2025";"16.06.2025";"MCD 01054 Lunar Top-up";"";"-704,00";"352.319,62";""
"16.06.2025";"16.06.2025";"MCD 01055 CIRCLE K TILST";"";"-763,44";"351.556,18";""
"16.06.2025";"16.06.2025";"MCD 01059 Q8 Vissenbjerg 8102";"";"-800,00";"350.756,18";""
"16.06.2025";"16.06.2025";"MCD 01057 DAGROFA S-ENGRO";"";"-882,10";"349.874,08";""
"16.06.2025";"16.06.2025";"MCD 01061 BAUHAUS HERNING";"";"-1.868,95";"348.005,13";""
"16.06.2025";"16.06.2025";"LP9dccae455c                        -SE MEDD.";"";"11.617,79";"359.622,92";""
"17.06.2025";"17.06.2025";"MasterCard Debit genbestilling";"";"-150,00";"359.472,92";""
"17.06.2025";"17.06.2025";"LS 38393 DANFOODS APS";"";"-5.393,83";"354.079,09";""
"17.06.2025";"17.06.2025";"Overførsel                          -SE MEDD.";"";"7.389,90";"361.468,99";""
"17.06.2025";"17.06.2025";"Mina Istanbul Kebab Produktion Aps";"";"-40.031,25";"321.437,74";""
"17.06.2025";"17.06.2025";"Overførsel";"";"-31,25";"321.406,49";""
"18.06.2025";"18.06.2025";"Betalinger, 1 stk.";"";"-60,00";"321.346,49";""
"18.06.2025";"18.06.2025";"LS 38393 DANFOODS APS";"";"-2.950,96";"318.395,53";""
"18.06.2025";"18.06.2025";"Mcd 0870 DRAGOFA";"";"-2.783,00";"315.612,53";""
"18.06.2025";"18.06.2025";"Danfoods mcd 9088";"";"-3.469,00";"312.143,53";""
"18.06.2025";"18.06.2025";"MCD 01064 Megafood ApS";"";"-385,25";"311.758,28";""
"18.06.2025";"18.06.2025";"MCD 01062 BAUHAUS";"";"-684,75";"311.073,53";""
"18.06.2025";"18.06.2025";"MCD 01063 JEM & FIX TILST";"";"-887,25";"310.186,28";""
"19.06.2025";"19.06.2025";"LS 38393 DANFOODS APS";"";"-864,09";"309.322,19";""
"19.06.2025";"19.06.2025";"Distortion 2025                     -SE MEDD.";"";"5.000,00";"314.322,19";""
"19.06.2025";"19.06.2025";"MCD 01065 NVIDIA CORPORATION";"";"-179,00";"314.143,19";""
"19.06.2025";"19.06.2025";"MCD 01066 S-ENGROS SILKEB";"";"-930,29";"313.212,90";""
"19.06.2025";"19.06.2025";"Århus Catering";"";"-3.487,00";"309.725,90";""
"20.06.2025";"20.06.2025";"MCD 01069 APPLE.COM/BILL";"";"-55,00";"309.670,90";""
"20.06.2025";"20.06.2025";"MCD 01067 Inco CC Aarhus AS";"";"-1.568,83";"308.102,07";""
"20.06.2025";"20.06.2025";"MCD 01068 DAGROFA S/ENGRO";"";"-3.711,14";"304.390,93";""
"23.06.2025";"23.06.2025";"Dragofa Holst 802";"";"-2.376,33";"302.014,60";""
"23.06.2025";"23.06.2025";"MCD 01070 CIRCLE K BREGNEVEJ, SI";"";"-422,00";"301.592,60";""
"23.06.2025";"23.06.2025";"MCD 01071 OIL tank go Tilst v/AA";"";"-450,81";"301.141,79";""
"23.06.2025";"23.06.2025";"MCD 01072 DAGROFA S/ENGRO";"";"-1.316,78";"299.825,01";""
"23.06.2025";"23.06.2025";"Ls DANFOODS 677";"";"-2.458,00";"297.367,01";""
"23.06.2025";"23.06.2025";"MCD 01073 DAGROFA S-ENGRO";"";"-1.050,11";"296.316,90";""
"23.06.2025";"23.06.2025";"LS 38393 DANFOODS APS";"";"-5.312,76";"291.004,14";""
"23.06.2025";"23.06.2025";"MCD 01074 CIRCLE K LEGARDVEJ";"";"-295,65";"290.708,49";""
"23.06.2025";"23.06.2025";"LS DSNFOODS 127";"";"-1.967,00";"288.741,49";""
"24.06.2025";"24.06.2025";"LS 38393 DANFOODS APS";"";"-6.643,10";"282.098,39";""
"24.06.2025";"24.06.2025";"MCD 01075 CIRCLE K GJESING";"";"-68,50";"282.029,89";""
"24.06.2025";"24.06.2025";"MCD 01076 THANSEN GRUPPEN";"";"-1.386,45";"280.643,44";""
"25.06.2025";"25.06.2025";"Aura 9899";"";"-799,00";"279.844,44";""
"25.06.2025";"25.06.2025";"LS 11045 OK A.M.B.A.";"";"-524,10";"279.320,34";""
"25.06.2025";"25.06.2025";"Overførsel                          -SE MEDD.";"";"10.425,00";"289.745,34";""
"25.06.2025";"25.06.2025";"MCD 01077 WINDSURF 18,75 USD kurs: 651,360000";"";"-125,06";"289.620,28";""
"25.06.2025";"25.06.2025";"Larsen og Jakobsen Fakturanr. 15435";"";"-3.500,00";"286.120,28";""
"25.06.2025";"25.06.2025";"MCD 01078 Q8 Holstebro 8250";"";"-500,00";"285.620,28";""
"25.06.2025";"25.06.2025";"MCD 01079 THANSEN GRUPPEN";"";"-558,81";"285.061,47";""
"25.06.2025";"25.06.2025";"MCD 01080 Q8 Holstebro 8250";"";"-600,00";"284.461,47";""
"26.06.2025";"26.06.2025";"LS 38393 DANFOODS APS";"";"-3.690,95";"280.770,52";""
"26.06.2025";"26.06.2025";"tryg Registreringsnr.: BE26246";"";"-9.715,00";"271.055,52";""
"26.06.2025";"26.06.2025";"Facebook Ads";"";"-1.000,00";"270.055,52";""
"26.06.2025";"26.06.2025";"MCD 01082 INGO ARHUS HASLE";"";"-961,98";"269.093,54";""
"26.06.2025";"26.06.2025";"MCD 01081 DAGROFA S/ENGRO";"";"-3.643,07";"265.450,47";""
"27.06.2025";"27.06.2025";"DFIM MOTOR";"";"-1.296,00";"264.154,47";""
"27.06.2025";"27.06.2025";"LS 38393 DANFOODS APS";"";"-2.141,16";"262.013,31";""
"27.06.2025";"27.06.2025";"Silkeborg SFF  Mad & Kultur         -SE MEDD.";"";"74.080,39";"336.093,70";""
"27.06.2025";"27.06.2025";"MCD 01083 CIRCLE K TILST";"";"-382,67";"335.711,03";""
"30.06.2025";"30.06.2025";"MCD 01092 CIRCLE K TILST";"";"-49,00";"335.662,03";""
"30.06.2025";"30.06.2025";"MCD 01090 DAGROFA S/ENGRO";"";"-225,76";"335.436,27";""
"30.06.2025";"30.06.2025";"MCD 01088 Shell AALBORG";"";"-299,00";"335.137,27";""
"30.06.2025";"30.06.2025";"MCD 01089 DAGROFA S/ENGRO";"";"-523,29";"334.613,98";""
"30.06.2025";"30.06.2025";"MCD 01091 CIRCLE K TILST";"";"-662,78";"333.951,20";""
"30.06.2025";"30.06.2025";"MCD 01097 Revolut**2287*";"";"-500,00";"333.451,20";""
"30.06.2025";"30.06.2025";"02000118060012806258                -SE MEDD.";"";"188,11";"333.639,31";""
"30.06.2025";"30.06.2025";"MCD 01100 CIRCLE K MOTORVEJSCENT";"";"-0,43";"333.638,88";""
"30.06.2025";"30.06.2025";"MCD 01098 Kvickly Helsing";"";"-187,95";"333.450,93";""
"30.06.2025";"30.06.2025";"MCD 01102 CIRCLE K MOTORVEJSCENT";"";"-408,65";"333.042,28";""
"30.06.2025";"30.06.2025";"MCD 01093 CIRCLE K TILST";"";"-426,73";"332.615,55";""
"30.06.2025";"30.06.2025";"MCD 01099 OK Struer";"";"-500,00";"332.115,55";""
"30.06.2025";"30.06.2025";"MCD 01096 DAGROFA S/ENGRO";"";"-2.136,49";"329.979,06";""
"30.06.2025";"30.06.2025";"MCD 01095 DAGROFA S/ENGRO";"";"-9.778,12";"320.200,94";""
"30.06.2025";"30.06.2025";"LS 38393 DANFOODS APS";"";"-1.855,69";"318.345,25";""
"30.06.2025";"30.06.2025";"Online Banking gebyrer";"";"-736,40";"317.608,85";""
"30.06.2025";"30.06.2025";"Kundegebyr";"";"-200,00";"317.408,85";""
"30.06.2025";"30.06.2025";"OS Lønovf. - bogf. hos modtager 3";"";"-1,50";"317.407,35";""
"30.06.2025";"30.06.2025";"OS Lønovf. - træk på jeres konto 3";"";"-1,50";"317.405,85";""
"30.06.2025";"30.06.2025";"MCD 01107 F@TEX AALBORG";"";"-200,00";"317.205,85";""
"30.06.2025";"30.06.2025";"MCD 01103 Storebaeltsforbindelse";"";"-230,00";"316.975,85";""
"30.06.2025";"30.06.2025";"MCD 01109 Wolt";"";"-299,98";"316.675,87";""
"30.06.2025";"30.06.2025";"MCD 01106 Revolut**2287*";"";"-1.000,00";"315.675,87";""
"30.06.2025";"30.06.2025";"MCD 01094 Lunar Top-up";"";"-1.504,00";"314.171,87";""
"30.06.2025";"30.06.2025";"MCD 01104 CIRCLE K MOTORVEJSCENT";"";"-139,00";"314.032,87";""
"30.06.2025";"30.06.2025";"MCD 01105 CIRCLE K MOTORVEJSCENT";"";"-395,88";"313.636,99";""
"30.06.2025";"30.06.2025";"LPc9889edccb                        -SE MEDD.";"";"56.972,71";"370.609,70";""
"01.07.2025";"01.07.2025";"LS 38393 DANFOODS APS";"";"-17.389,20";"353.220,50";""
"01.07.2025";"01.07.2025";"MCD 01110 Zettle_*COFFEE   THE B";"";"-139,00";"353.081,50";""
"01.07.2025";"01.07.2025";"MCD 01087 KARROUM TRADING";"";"-176,84";"352.904,66";""
"01.07.2025";"01.07.2025";"MCD 01084 IMERCO ÅLBORG,";"";"-184,50";"352.720,16";""
"01.07.2025";"01.07.2025";"MCD 01085 F@TEX AALBORG";"";"-379,00";"352.341,16";""
"01.07.2025";"01.07.2025";"MCD 01086 DEKRA Bilsyn - Tilst";"";"-1.495,00";"350.846,16";""
"01.07.2025";"01.07.2025";"MCD 01111 Coop 365 Moelleparken";"";"-163,90";"350.682,26";""
"01.07.2025";"01.07.2025";"MCD 01108 Q8 Låsby 8206";"";"-300,00";"350.382,26";""
"02.07.2025";"02.07.2025";"BS TELENOR A/S";"";"-254,98";"350.127,28";""
"02.07.2025";"02.07.2025";"LS 38393 DANFOODS APS";"";"-666,86";"349.460,42";""
"02.07.2025";"02.07.2025";"Mina Kebab ApS, faknr 5029735";"";"-22.201,69";"327.258,73";""
"02.07.2025";"02.07.2025";"Larsen og Jakobsen Fakturanr. 15815";"";"-12.187,50";"315.071,23";""
"02.07.2025";"02.07.2025";"Helsingør Koncert Streetfoodies";"";"-7.613,75";"307.457,48";""
"02.07.2025";"02.07.2025";"churrosvogn Emmas's Ismejeri";"";"-40.000,00";"267.457,48";""
"02.07.2025";"02.07.2025";"MCD 54231 NETTO S@NDERVAN";"";"-600,00";"266.857,48";""
"03.07.2025";"03.07.2025";"MCD 01113 KARROUM TRADING";"";"-426,15";"266.431,33";""
"04.07.2025";"04.07.2025";"LS 38393 DANFOODS APS";"";"-3.192,85";"263.238,48";""
"04.07.2025";"04.07.2025";"MCD 01122 Wolt";"";"-265,00";"262.973,48";""
"04.07.2025";"04.07.2025";"MCD 01123 Max Burgers 7610002_Co";"";"-284,00";"262.689,48";""
"04.07.2025";"04.07.2025";"MCD 01117 AIRBNB * HMTAES98FF";"";"-1.682,35";"261.007,13";""
"04.07.2025";"04.07.2025";"MCD 01116 PARKMAN";"";"-131,83";"260.875,30";""
"04.07.2025";"04.07.2025";"MCD 01120 CIRCLE K TILST";"";"-202,22";"260.673,08";""
"04.07.2025";"04.07.2025";"MCD 01114 BAZAR ÅRHUS";"";"-375,00";"260.298,08";""
"04.07.2025";"04.07.2025";"MCD 01118 Coop 365 Moelleparken";"";"-531,95";"259.766,13";""
"04.07.2025";"04.07.2025";"MCD 01119 CIRCLE K TILST";"";"-614,56";"259.151,57";""
"07.07.2025";"07.07.2025";"02000118060010407251                -SE MEDD.";"";"193,07";"259.344,64";""
"07.07.2025";"07.07.2025";"MCD 01125 DAGROFA S/ENGRO";"";"-46,60";"259.298,04";""
"07.07.2025";"07.07.2025";"MCD 01129 Coop 365 Lerchesvej";"";"-67,70";"259.230,34";""
"07.07.2025";"07.07.2025";"MCD 01130 DAGROFA S/ENGRO";"";"-156,39";"259.073,95";""
"07.07.2025";"07.07.2025";"MCD 01126 CIRCLE K MOTORVEJSCENT";"";"-295,62";"258.778,33";""
"07.07.2025";"07.07.2025";"MCD 01128 DAGROFA S/ENGRO";"";"-503,11";"258.275,22";""
"07.07.2025";"07.07.2025";"MCD 01124 CIRCLE K TILST";"";"-550,13";"257.725,09";""
"07.07.2025";"07.07.2025";"MCD 01121 Uno-X 1924 Svendborg,";"";"-883,05";"256.842,04";""
